SerialNumber,EpochTime,Latitude,Longitude,APName,RSSI,Frequency,
48,1601188845860,26.52701679,128.02831288,AP001,-70, 2462,
48,1601188845860,26.52701679,128.02831288,AP002,-73, 2447,
48,1601188845860,26.52701679,128.02831288,AP004,-79, 2412,
49,1601188846852,26.5270125,128.02831375,AP001,-70, 2462,
49,1601188846852,26.5270125,128.02831375,AP002,-73, 2447,
49,1601188846852,26.5270125,128.02831375,AP004,-79, 2412,
50,1601188847846,26.52700735,128.02831356,AP001,-71, 2462,
50,1601188847846,26.52700735,128.02831356,AP002,-75, 2447,
50,1601188847846,26.52700735,128.02831356,AP004,-75, 2412,
51,1601188848845,26.52700326,128.02831349,AP001,-71, 2462,
51,1601188848845,26.52700326,128.02831349,AP002,-75, 2447,
51,1601188848845,26.52700326,128.02831349,AP004,-75, 2412,
52,1601188849844,26.52699797,128.02831184,AP001,-71, 2462,
52,1601188849844,26.52699797,128.02831184,AP004,-75, 2412,
52,1601188849844,26.52699797,128.02831184,AP002,-79, 2447,
52,1601188849844,26.52699797,128.02831184,AP003,-79, 2432,
53,1601188850932,26.52699661,128.02831127,AP001,-71, 2462,
53,1601188850932,26.52699661,128.02831127,AP004,-75, 2412,
53,1601188850932,26.52699661,128.02831127,AP002,-79, 2447,
53,1601188850932,26.52699661,128.02831127,AP003,-79, 2432,
54,1601188851824,26.52699341,128.02830907,AP001,-70, 2462,
54,1601188851824,26.52699341,128.02830907,AP002,-74, 2447,
54,1601188851824,26.52699341,128.02830907,AP004,-82, 2412,
55,1601188852842,26.52699288,128.02830837,AP001,-70, 2462,
55,1601188852842,26.52699288,128.02830837,AP002,-74, 2447,
55,1601188852842,26.52699288,128.02830837,AP004,-82, 2412,
56,1601188853840,26.52698833,128.02830718,AP001,-64, 2462,
56,1601188853840,26.52698833,128.02830718,AP003,-82, 2432,
56,1601188853840,26.52698833,128.02830718,AP004,-84, 2412,
57,1601188854851,26.52698481,128.0283075,AP001,-64, 2462,
57,1601188854851,26.52698481,128.0283075,AP003,-82, 2432,
57,1601188854851,26.52698481,128.0283075,AP004,-84, 2412,
58,1601188855833,26.5269776,128.02830722,AP001,-64, 2462,
58,1601188855833,26.5269776,128.02830722,AP002,-78, 2447,
58,1601188855833,26.5269776,128.02830722,AP004,-81, 2412,
58,1601188855833,26.5269776,128.02830722,AP003,-81, 2432,
59,1601188856848,26.52697545,128.02830768,AP001,-64, 2462,
59,1601188856848,26.52697545,128.02830768,AP002,-78, 2447,
59,1601188856848,26.52697545,128.02830768,AP004,-81, 2412,
59,1601188856848,26.52697545,128.02830768,AP003,-81, 2432,
60,1601188857852,26.52697002,128.02830735,AP001,-66, 2462,
60,1601188857852,26.52697002,128.02830735,AP002,-73, 2447,
60,1601188857852,26.52697002,128.02830735,AP004,-85, 2412,
61,1601188858852,26.52696743,128.0283072,AP001,-66, 2462,
61,1601188858852,26.52696743,128.0283072,AP002,-73, 2447,
61,1601188858852,26.52696743,128.0283072,AP004,-85, 2412,
62,1601188859853,26.52696267,128.02830586,AP001,-67, 2462,
62,1601188859853,26.52696267,128.02830586,AP002,-73, 2447,
63,1601188860849,26.5269587,128.0283041,AP001,-67, 2462,
63,1601188860849,26.5269587,128.0283041,AP002,-73, 2447,
64,1601188861844,26.52695369,128.02830337,AP001,-65, 2462,
64,1601188861844,26.52695369,128.02830337,AP002,-79, 2447,
65,1601188862844,26.52695008,128.0283027,AP001,-65, 2462,
65,1601188862844,26.52695008,128.0283027,AP002,-79, 2447,
66,1601188863841,26.52694625,128.02830112,AP001,-66, 2462,
66,1601188863841,26.52694625,128.02830112,AP002,-74, 2447,
66,1601188863841,26.52694625,128.02830112,AP003,-80, 2432,
66,1601188863841,26.52694625,128.02830112,AP004,-82, 2412,
67,1601188864853,26.52694717,128.02829952,AP001,-66, 2462,
67,1601188864853,26.52694717,128.02829952,AP002,-74, 2447,
67,1601188864853,26.52694717,128.02829952,AP003,-80, 2432,
67,1601188864853,26.52694717,128.02829952,AP004,-82, 2412,
68,1601188865836,26.52694533,128.02829671,AP001,-66, 2462,
68,1601188865836,26.52694533,128.02829671,AP003,-78, 2432,
68,1601188865836,26.52694533,128.02829671,AP002,-79, 2447,
68,1601188865836,26.52694533,128.02829671,AP004,-80, 2412,
69,1601188866846,26.52694488,128.02829512,AP001,-66, 2462,
69,1601188866846,26.52694488,128.02829512,AP003,-78, 2432,
69,1601188866846,26.52694488,128.02829512,AP002,-79, 2447,
69,1601188866846,26.52694488,128.02829512,AP004,-80, 2412,
70,1601188867836,26.52693904,128.02829366,AP001,-64, 2462,
70,1601188867836,26.52693904,128.02829366,AP004,-74, 2412,
70,1601188867836,26.52693904,128.02829366,AP002,-78, 2447,
70,1601188867836,26.52693904,128.02829366,AP003,-78, 2432,
71,1601188868855,26.526932,128.02829312,AP001,-64, 2462,
71,1601188868855,26.526932,128.02829312,AP004,-74, 2412,
71,1601188868855,26.526932,128.02829312,AP002,-78, 2447,
71,1601188868855,26.526932,128.02829312,AP003,-78, 2432,
72,1601188869843,26.52692477,128.02829232,AP001,-74, 2462,
72,1601188869843,26.52692477,128.02829232,AP003,-75, 2432,
72,1601188869843,26.52692477,128.02829232,AP002,-79, 2447,
72,1601188869843,26.52692477,128.02829232,AP004,-83, 2412,
73,1601188870847,26.52691784,128.02829385,AP001,-74, 2462,
73,1601188870847,26.52691784,128.02829385,AP003,-75, 2432,
73,1601188870847,26.52691784,128.02829385,AP002,-79, 2447,
73,1601188870847,26.52691784,128.02829385,AP004,-83, 2412,
74,1601188871849,26.52691053,128.02829372,AP003,-70, 2432,
74,1601188871849,26.52691053,128.02829372,AP001,-71, 2462,
74,1601188871849,26.52691053,128.02829372,AP004,-73, 2412,
74,1601188871849,26.52691053,128.02829372,AP002,-79, 2447,
75,1601188872864,26.52690742,128.02829242,AP003,-70, 2432,
75,1601188872864,26.52690742,128.02829242,AP001,-71, 2462,
75,1601188872864,26.52690742,128.02829242,AP004,-73, 2412,
75,1601188872864,26.52690742,128.02829242,AP002,-79, 2447,
76,1601188873845,26.52690323,128.02829043,AP001,-66, 2462,
76,1601188873845,26.52690323,128.02829043,AP003,-72, 2432,
76,1601188873845,26.52690323,128.02829043,AP002,-74, 2447,
76,1601188873845,26.52690323,128.02829043,AP004,-82, 2412,
77,1601188874843,26.52689956,128.02828844,AP001,-66, 2462,
77,1601188874843,26.52689956,128.02828844,AP003,-72, 2432,
77,1601188874843,26.52689956,128.02828844,AP002,-74, 2447,
77,1601188874843,26.52689956,128.02828844,AP004,-82, 2412,
78,1601188875847,26.52689512,128.02828656,AP001,-66, 2462,
78,1601188875847,26.52689512,128.02828656,AP003,-75, 2432,
78,1601188875847,26.52689512,128.02828656,AP002,-77, 2447,
78,1601188875847,26.52689512,128.02828656,AP004,-84, 2412,
79,1601188876834,26.52689462,128.02828508,AP001,-66, 2462,
79,1601188876834,26.52689462,128.02828508,AP003,-75, 2432,
79,1601188876834,26.52689462,128.02828508,AP002,-77, 2447,
79,1601188876834,26.52689462,128.02828508,AP004,-84, 2412,
80,1601188877838,26.52689442,128.02828468,AP001,-69, 2462,
80,1601188877838,26.52689442,128.02828468,AP003,-74, 2432,
80,1601188877838,26.52689442,128.02828468,AP002,-83, 2447,
80,1601188877838,26.52689442,128.02828468,AP004,-86, 2412,
81,1601188878845,26.52689138,128.0282824,AP001,-69, 2462,
81,1601188878845,26.52689138,128.0282824,AP003,-74, 2432,
81,1601188878845,26.52689138,128.0282824,AP002,-83, 2447,
81,1601188878845,26.52689138,128.0282824,AP004,-86, 2412,
82,1601188879841,26.52688661,128.02828075,AP001,-67, 2462,
82,1601188879841,26.52688661,128.02828075,AP003,-73, 2432,
82,1601188879841,26.52688661,128.02828075,AP002,-82, 2447,
82,1601188879841,26.52688661,128.02828075,AP004,-84, 2412,
83,1601188880850,26.52688233,128.02828125,AP001,-67, 2462,
83,1601188880850,26.52688233,128.02828125,AP003,-73, 2432,
83,1601188880850,26.52688233,128.02828125,AP002,-82, 2447,
83,1601188880850,26.52688233,128.02828125,AP004,-84, 2412,
84,1601188881850,26.52687408,128.02828176,AP004,-72, 2412,
84,1601188881850,26.52687408,128.02828176,AP003,-72, 2432,
84,1601188881850,26.52687408,128.02828176,AP001,-72, 2462,
84,1601188881850,26.52687408,128.02828176,AP002,-78, 2447,
85,1601188882850,26.52687079,128.02828239,AP004,-72, 2412,
85,1601188882850,26.52687079,128.02828239,AP003,-72, 2432,
85,1601188882850,26.52687079,128.02828239,AP001,-72, 2462,
85,1601188882850,26.52687079,128.02828239,AP002,-78, 2447,
86,1601188883836,26.52686573,128.02828203,AP004,-72, 2412,
86,1601188883836,26.52686573,128.02828203,AP003,-72, 2432,
86,1601188883836,26.52686573,128.02828203,AP001,-72, 2462,
86,1601188883836,26.52686573,128.02828203,AP002,-78, 2447,
87,1601188884851,26.52686435,128.02828194,AP001,-66, 2462,
87,1601188884851,26.52686435,128.02828194,AP004,-87, 2412,
87,1601188884851,26.52686435,128.02828194,AP005,-89, 2427,
88,1601188885840,26.52685862,128.02828056,AP001,-66, 2462,
88,1601188885840,26.52685862,128.02828056,AP004,-87, 2412,
88,1601188885840,26.52685862,128.02828056,AP005,-89, 2427,
89,1601188886861,26.52685453,128.02827946,AP001,-64, 2462,
89,1601188886861,26.52685453,128.02827946,AP003,-68, 2432,
90,1601188887841,26.52684788,128.02827825,AP001,-64, 2462,
90,1601188887841,26.52684788,128.02827825,AP003,-68, 2432,
91,1601188888833,26.52684342,128.02827651,AP001,-66, 2462,
91,1601188888833,26.52684342,128.02827651,AP003,-71, 2432,
91,1601188888833,26.52684342,128.02827651,AP002,-77, 2447,
91,1601188888833,26.52684342,128.02827651,AP004,-85, 2412,
92,1601188889845,26.52684019,128.02827433,AP001,-66, 2462,
92,1601188889845,26.52684019,128.02827433,AP003,-71, 2432,
92,1601188889845,26.52684019,128.02827433,AP002,-77, 2447,
